"id","title","level","programmeType","institution","city","credits","duration","topics","description","officialProgrammeUrl","sourceUrl","intake2027Status","intake2027Label","intake2027Note","availabilitySourceUrl","lastChecked"
"university-of-southern-denmark-sdu:odense:accounting-and-finance","Accounting and Finance","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management","Description Gain competencies around key financial issues within an enterprise. Build a foundation to manage a firm’s financial decisions.…","http://www.sdu.dk/en/Uddannelse/Kandidat/CandMercAccFinanceOd","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/accounting-and-finance","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:accounting-strategy-and-control-msc","Accounting, Strategy and Control (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management | design-architecture-arts","Description By working with measurements of cost, performance and risk, you will learn to identify strategic challenges within organisations, and to design the proper course of action and incentive structures to respond to them.…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-economics-and-business-administration-accounting-strategy","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/accounting-strategy-and-control-msc","","","","","2026-08-02"
"university-of-copenhagen-ucph:north-campus:actuarial-mathematics","Actuarial Mathematics","master","master","University of Copenhagen (UCPH)","North Campus","120","2 years","business-management | natural-science","Description You should pursue an MSc in Actuarial Mathematics if you enjoy working with numbers. You will, among other things, be engaged in addressing various types of damage insurance, life insurance, insurance economics, insurance…","https://www.ku.dk/studies/masters/actuarial-mathematics","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/actuarial-mathematics","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:advanced-economics-and-finance-msc","Advanced Economics and Finance (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management","Description The MSc in Advanced Economics and Finance accommodates the need for economists with strong quantitative competencies. The programme is a thorough preparation for a variety of careers.…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-economics-and-finance-advanced-economics-and-finance","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/advanced-economics-and-finance-msc","","","","","2026-08-02"
"university-of-copenhagen-ucph:south-campus:advanced-migration-studies","Advanced Migration Studies","master","master","University of Copenhagen (UCPH)","South Campus","","2 years","society-politics","Description The master’s degree in Advanced Migration Studies is an ambitious, interdisciplinary two-year degree programme offered in English that provides students with a comprehensive understanding of the opportunities and challenges…","https://www.ku.dk/studies/masters/advanced-migration-studies","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/advanced-migration-studies","","","","","2026-08-02"
"aalborg-university-aau:esbjerg:advanced-power-electronics-msc-in-engineering","Advanced Power Electronics, MSc in Engineering","master","master","Aalborg University (AAU)","Esbjerg","","2 years","engineering-technology","Description In this programme at AAU Esbjerg , you will study advanced power electronics, electrical machines with strong focus on control engineering, optimisation and reliability.…","https://www.en.aau.dk/education/master/advanced-power-electronics","https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/advanced-power-electronics-msc-in-engineering","","","","","2026-08-02"
"university-of-copenhagen-ucph:city-campus:african-studies","African studies","master","master","University of Copenhagen (UCPH)","City Campus","","2 years","other","Description What is Africa? What is Africa’s place in the world? How might emerging trends within the continent be analysed and appreciated?…","https://www.ku.dk/studies/masters/african-studies","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/african-studies","","","","","2026-08-02"
"university-of-copenhagen-ucph:frederiksberg-campus:agricultural-economics","Agricultural Economics","master","master","University of Copenhagen (UCPH)","Frederiksberg / Copenhagen","","2 years","business-management | health-life-science | natural-science | society-politics","Description As an Msc Student of Agricultural Economics you will work with economics and policy in an international perspective with a special emphasis on food, agribusiness and development.…","https://www.ku.dk/studies/masters/agricultural-economics","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agricultural-economics","","","","","2026-08-02"
"university-of-copenhagen-ucph:frederiksberg-campus:agriculture","Agriculture","master","master","University of Copenhagen (UCPH)","Frederiksberg / Copenhagen","","2 years","natural-science","Description The MSc programme in Agriculture is a broad programme targeted at students who are interested in the potentials of plants for the benefit of humans and in agriculture as a human activity.…","https://www.ku.dk/studies/masters/agriculture","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agriculture","","","","","2026-08-02"
"aarhus-university-au:aarhus:agrobiology","Agrobiology","master","master","Aarhus University (AU)","Aarhus","","2 years","health-life-science | natural-science | sustainability-climate | society-politics","Developing solutions for healthy food production while decreasing environmental impact and increasing animal welfare is the main focus in the Agrobiology programme at Aarhus University.…","https://masters.au.dk/agrobiology","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/agrobiology","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:american-studies","American Studies","master","master","University of Southern Denmark (SDU)","Odense","","2 years","society-politics | humanities-culture","Description What does it mean to be an American? Is there a shared American culture, or is that just something Europeans imagine? Study the global superpower - and get the chance to experience it yourself.…","https://www.sdu.dk/en/Uddannelse/Kandidat/Amerikanske_studier","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/american-studies","","","","","2026-08-02"
"university-of-copenhagen-ucph:city-campus:anthropology","Anthropology","master","master","University of Copenhagen (UCPH)","City Campus","","2 years","society-politics","Description The MSc in Anthropology is a two-year degree programme taught at one of the largest anthropological research establishments in Europe, The Departement of Anthropology at the University of Copenhagen.…","https://www.ku.dk/studies/masters/anthropology","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/anthropology","","","","","2026-08-02"
"aarhus-university-au:aarhus:feffanthropology-visual-anthropology","Anthropology - Visual Anthropology","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | design-architecture-arts | society-politics","Whether they study the traditions of an indigenous group in Brazil or the social organisation of an international fashion company, anthropologists are concerned with identifying the cultural norms, beliefs, and power structures that make up…","https://masters.au.dk/anthropology","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/feffanthropology-visual-anthropology","","","","","2026-08-02"
"university-of-copenhagen-ucph:south-campus:applied-cultural-analysis","Applied Cultural Analysis","master","master","University of Copenhagen (UCPH)","South Campus","","2 years","other","Description The MA in Applied Cultural Analysis teaches students how to conduct cultural analysis, solving concrete problems in corporations, public institutions and NGO’s.…","https://www.ku.dk/studies/masters/applied-cultural-analysis","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/applied-cultural-analysis","","","","","2026-08-02"
"copenhagen-business-school-cbs:frederiksberg-campus:applied-economics-and-finance-msc","Applied Economics and Finance (MSc)","master","master","Copenhagen Business School (CBS)","Frederiksberg / Copenhagen","","2 years","business-management","Description Applied Economics and Finance provides you with the essential business knowledge, analytical skills, and competencies to analyze the economic context in which firms operate, to evaluate financial risks, and to make sound…","https://www.cbs.dk/en/study-programmes/master-programmes/msc-economics-and-finance-applied-economics-and-finance","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/applied-economics-and-finance-msc","","","","","2026-08-02"
"aalborg-university-aau:esbjerg:applied-industrial-electronics-bsc-in-engineering","Applied Industrial Electronics, BSc in Engineering","bachelor","bachelor","Aalborg University (AAU)","Esbjerg","180","3 years","it-data | engineering-technology | design-architecture-arts","At Applied Industrial Electronics, you develop technologies for automation and control of industrial processes and autonomous drones. You design and control, for example, robots, and develop electronic solutions for industry.…","https://www.en.aau.dk/education/bachelor/applied-industrial-electronics","https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/applied-industrial-electronics-bsc-in-engineering","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:applied-mathematics","Applied Mathematics","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management | it-data | natural-science","Description Do you want to be a problem solver? Would you like to learn to utilise advanced mathematical tools and computers to model, analyse and solve complex problems in business or research? Then study Applied Mathematics in Odense.…","https://www.sdu.dk/en/Uddannelse/Kandidat/Anvendt_matematik","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/applied-mathematics","","","","","2026-08-02"
"via-university-college:campus-horsens:architectural-technology-and-construction","Architectural Technology and Construction Management","bachelor","bachelor","VIA University College","Campus Horsens","210","3,5 years","business-management | engineering-technology","At the Architectural Technology and Construction Management study programme, you will learn to plan, execute and manage construction projects. We work with both small and large projects from start to finish.","https://en.via.dk/programmes/bachelor/architectural-technology","https://studyindenmark.dk/portal/via-university-college/campus-horsens/architectural-technology-and-construction","","","","","2026-08-02"
"aarhus-school-of-architecture:aarhus:architecture","Architecture","master","master","Aarhus School of Architecture","Aarhus","","2 years","design-architecture-arts","Aarhus School of Architecture offers a two-year Master's degree programme. The Master of Arts in Architecture is a general architecture program, offering a profiling in (Urban) Planning, Building Design and Landscape Architecture.…","http://aarch.dk/","https://studyindenmark.dk/portal/aarhus-school-of-architecture/aarhus/architecture","","","","","2026-08-02"
"royal-danish-academy-architecture-design-and:copenhagen:architecture-and-extreme-environments","Architecture and Extreme Environments","master","master","Royal Danish Academy — Architecture, Design, Conservation","Copenhagen","","2 years","it-data | engineering-technology | design-architecture-arts | natural-science | sustainability-climate | society-politics | humanities-culture","Description This Master programme pursues to explore the intersection between architecture, technology, culture and environment. Through a site-specific approach, we aim to respond to present and future global challenges through 'research…","https://royaldanishacademy.com//programme/architecture-and-extreme-environments","https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/architecture-and-extreme-environments","","","","","2026-08-02"
"aalborg-university-aau:aalborg:architecture-msc-in-engineering","Architecture, MSc in Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | design-architecture-arts","Get a Master’s in Architecture at AAU. Immerse yourself in architecture and tectonic design and work with the connection between space and construction, as well as the aesthetic possibilities of the technical solutions necessary for humans…","https://www.en.aau.dk/education/master/architecture/","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/architecture-msc-in-engineering","","","","","2026-08-02"
